year,method_id,method_label,dependence_gap,within_pair_mean,between_pair_mean,within_pair_count,between_pair_count,gap_minus_gics,ari_vs_previous_year,nmi_vs_gics
2020,gics,GICS sectors,0.14140542156,0.597770228009,0.45636480645,551,4399,0,,1
2020,hierarchical,Hierarchical clustering,0.0878632385649,0.532082840872,0.444219602307,1571,3379,-0.0535421829947,,0.686264880339
2020,spectral,Spectral clustering,0.159317995902,0.616553402992,0.457235407091,462,4488,0.0179125743423,,0.754502170358
2020,pca_kmeans,PCA + k-means,0.111524076361,0.572634466248,0.461110389887,488,4462,-0.0298813451988,,0.582490386479
2021,gics,GICS sectors,0.206706860829,0.45185788967,0.24515102884,524,4229,0,,1
2021,hierarchical,Hierarchical clustering,0.250079642284,0.457354081081,0.207274438796,1153,3600,0.043372781455,0.368899711183,0.595672203915
2021,spectral,Spectral clustering,0.252296752984,0.496774360881,0.244477607897,442,4311,0.0455898921545,0.748096282533,0.741603921861
2021,pca_kmeans,PCA + k-means,0.215338652585,0.463887420068,0.248548767483,428,4325,0.00863179175569,0.492958584488,0.555709233094
2022,gics,GICS sectors,0.172945157751,0.600944172392,0.427999014641,524,4229,0,,1
2022,hierarchical,Hierarchical clustering,0.145442654304,0.55753220309,0.412089548786,1143,3610,-0.0275025034478,0.765712994722,0.566797146879
2022,spectral,Spectral clustering,0.176031620975,0.606282877724,0.430251256749,454,4299,0.00308646322375,0.682094348662,0.678451043575
2022,pca_kmeans,PCA + k-means,0.142475145305,0.576591138673,0.434115993368,432,4321,-0.0304700124465,0.51930341375,0.502864226085
2023,gics,GICS sectors,0.156615996894,0.440712903266,0.284096906372,524,4229,0,,1
2023,hierarchical,Hierarchical clustering,0.15570474661,0.418641357295,0.262936610684,1173,3580,-0.00091125028399,0.76367632382,0.507961976955
2023,spectral,Spectral clustering,0.17756055535,0.462187580294,0.284627024944,448,4305,0.0209445584553,0.659487035173,0.705791716812
2023,pca_kmeans,PCA + k-means,0.18218629428,0.465419044366,0.283232750087,473,4280,0.0255702973854,0.520157121121,0.518901021529
2024,gics,GICS sectors,0.159169004472,0.35233242119,0.193163416718,524,4229,0,,1
2024,hierarchical,Hierarchical clustering,0.145166578831,0.321304115285,0.176137536455,1132,3621,-0.0140024256411,0.792127656011,0.549085190174
2024,spectral,Spectral clustering,0.192095484561,0.385185458627,0.193089974066,436,4317,0.0329264800893,0.583441703954,0.690271805538
2024,pca_kmeans,PCA + k-means,0.179571212091,0.373583373307,0.194012161216,442,4311,0.0204022076188,0.578006916039,0.522730148061
2025,gics,GICS sectors,0.176466691161,0.397371888611,0.22090519745,524,4229,0,,1
2025,hierarchical,Hierarchical clustering,0.195514242913,0.362530665074,0.167016422161,1783,2970,0.0190475517515,0.345985138135,0.536689361641
2025,spectral,Spectral clustering,0.220060457384,0.441298829095,0.221238371712,413,4340,0.043593766222,0.605550613973,0.65820536856
2025,pca_kmeans,PCA + k-means,0.212818290027,0.43338746012,0.220569170094,442,4311,0.0363515988654,0.526062445748,0.506330228772
