model_id,confidence,observations,exceptions,exception_rate,expected_exceptions,kupiec_p_value,kupiec_holm_p_value,kupiec_reject_after_holm,christoffersen_independence_p_value,christoffersen_independence_holm_p_value,christoffersen_independence_reject_after_holm,conditional_coverage_p_value
M0,0.95,1508,58,0.0384615384615,75.4,0.0324184475145,0.518695160232,false,4.21675127314e-05,0.000843350254628,true,2.31448767822e-05
M0,0.99,1508,16,0.0106100795756,15.08,0.813612670191,1,false,0.000375296674646,0.00713063681827,true,0.0017407085027
M1,0.95,1508,87,0.0576923076923,75.4,0.180472545859,1,false,0.373556320365,1,false,0.274510885398
M1,0.99,1508,23,0.0152519893899,15.08,0.0570945812534,0.570945812534,false,0.0479934734839,0.527928208323,false,0.0231670551668
M2,0.95,1508,91,0.0603448275862,75.4,0.0738186529539,0.664367876585,false,0.510041119233,1,false,0.162839389034
M2,0.99,1508,22,0.0145888594164,15.08,0.093693481847,0.664367876585,false,0.0397852149047,0.518695160232,false,0.0296473923685
M3,0.95,1508,91,0.0603448275862,75.4,0.0738186529539,0.664367876585,false,0.510041119233,1,false,0.162839389034
M3,0.99,1508,24,0.0159151193634,15.08,0.0335349843953,0.518695160232,false,0.00541775986658,0.0975196775984,false,0.00218455213247
M4,0.95,1508,94,0.0623342175066,75.4,0.0340101364376,0.518695160232,false,0.625809927476,1,false,0.0938563313587
M4,0.99,1508,24,0.0159151193634,15.08,0.0335349843953,0.518695160232,false,0.00541775986658,0.0975196775984,false,0.00218455213247
